uid,models,size,learning_rate,epochs,batch_size,optimizer,accuracy
730b16991780c813,vgg16,128,0.01,300,64,adam,0.8
0f5a925f052dd339,vgg16,128,0.01,300,64,sgd,0.9
61fee0997ae338b4,vgg16,128,0.1,100,16,adam,0.9
8de2024d6784770e,vgg16,128,0.1,100,16,sgd,0.8
8740b6fda0c13f9d,vgg16,128,0.1,100,32,adam,0.9
62c1110102485094,vgg16,128,0.1,100,32,sgd,0.9
8a1d8270c66399cc,vgg16,128,0.1,100,64,adam,0.9
c1da318722442e05,vgg16,128,0.1,100,64,sgd,0.6
3e42b1b625f390c8,vgg16,128,0.1,200,16,adam,0.5
8c8b73c775d31613,vgg16,128,0.1,200,16,sgd,0.7
f60b86bed30be8bf,vgg16,128,0.1,200,32,adam,0.9
0ade56b29be1f567,vgg16,128,0.1,200,32,sgd,0.6
f6b6d2110d8e0760,vgg16,128,0.1,200,64,adam,0.8
4aa6a08477bc2248,vgg16,128,0.1,200,64,sgd,0.7
a93764f768ae9a3c,vgg16,128,0.1,300,16,adam,0.7
fed0956a7f9c12a4,vgg16,128,0.1,300,16,sgd,0.6
61622b5a035c4167,vgg16,128,0.1,300,32,adam,1.0
78c3a115a73ede8e,vgg16,128,0.1,300,32,sgd,0.5
727a1bd5a1f34ecc,vgg16,128,0.1,300,64,adam,0.8
8b806ec4b360e262,vgg16,128,0.1,300,64,sgd,0.5
63901739379080ce,vgg16,256,0.001,100,16,adam,1.0
a97820110196c776,vgg16,256,0.001,100,16,sgd,0.9
7e470f1dfca1d1e3,vgg16,256,0.001,100,32,adam,0.6
6a853664c772dd12,vgg16,256,0.001,100,32,sgd,1.0
